name,rank,lineage,,,,,,,
Catelliglobosispora,genus,sk__Bacteria__2,p__Actinomycetota__201174,c__Actinomycetes__1760,o__Micromonosporales__85008,f__Micromonosporaceae__28056,g__Catelliglobosispora__1121253,,
Spirosoma luteum,species,sk__Bacteria__2,p__Bacteroidota__976,c__Cytophagia__768503,o__Cytophagales__768507,f__Cytophagaceae__89373,g__Spirosoma__107,s__Spirosoma luteum__431553,
Desulfofaba hansenii,species,sk__Bacteria__2,p__Thermodesulfobacteriota__200940,c__Desulfobacteria__3024418,o__Desulfobacterales__213118,f__Desulfofabaceae__2904606,g__Desulfofaba__109169,s__Desulfofaba hansenii__157842,
Psychrobacter sp. KOPRI 25501,species,sk__Bacteria__2,p__Pseudomonadota__1224,c__Gammaproteobacteria__1236,o__Moraxellales__2887326,f__Moraxellaceae__468,g__Psychrobacter__497,s__Psychrobacter sp. KOPRI 25501__887412,
[Aminomonas] aminovorus,species,sk__Bacteria__2,p__Pseudomonadota__1224,s__[Aminomonas] aminovorus__135579,,,,,
Belnapia rosea,species,sk__Bacteria__2,p__Pseudomonadota__1224,c__Alphaproteobacteria__28211,o__Rhodospirillales__204441,f__Acetobacteraceae__433,g__Belnapia__365532,s__Belnapia rosea__938405,
Marinilactibacillus piezotolerans,species,sk__Bacteria__2,p__Bacillota__1239,c__Bacilli__91061,o__Lactobacillales__186826,f__Carnobacteriaceae__186828,g__Marinilactibacillus__191769,s__Marinilactibacillus piezotolerans__258723,
Zooshikella ganghwensis,species,sk__Bacteria__2,p__Pseudomonadota__1224,c__Gammaproteobacteria__1236,o__Oceanospirillales__135619,f__Zooshikellaceae__2898533,g__Zooshikella__202771,s__Zooshikella ganghwensis__202772,
Marinobacter koreensis,species,sk__Bacteria__2,p__Pseudomonadota__1224,c__Gammaproteobacteria__1236,o__Pseudomonadales__72274,f__Marinobacteraceae__2887365,g__Marinobacter__2742,s__Marinobacter koreensis__335974,
Enhygromyxa salina,species,sk__Bacteria__2,p__Myxococcota__2818505,c__Myxococcia__32015,o__Myxococcales__29,g__Enhygromyxa__215802,s__Enhygromyxa salina__215803,,
Inquilinus sp. CCBAU 01442,species,sk__Bacteria__2,p__Pseudomonadota__1224,c__Alphaproteobacteria__28211,o__Rhodospirillales__204441,f__Rhodospirillaceae__41295,g__Inquilinus__171673,s__Inquilinus sp. CCBAU 01442__648689,
Crocosphaera subtropica ATCC 51142,strain,sk__Bacteria__2,p__Cyanobacteriota__1117,c__Cyanophyceae__3028117,o__Chroococcales__1118,f__Aphanothecaceae__1890450,g__Crocosphaera__263510,s__Crocosphaera subtropica__2546360,st__Crocosphaera subtropica ATCC 51142__43989
Thermoanaerobacter kivui,species,sk__Bacteria__2,p__Bacillota__1239,c__Clostridia__186801,o__Thermoanaerobacterales__68295,f__Thermoanaerobacteraceae__186814,g__Thermoanaerobacter__1754,s__Thermoanaerobacter kivui__2325,
Rhodopila globiformis,species,sk__Bacteria__2,p__Pseudomonadota__1224,c__Alphaproteobacteria__28211,o__Rhodospirillales__204441,f__Acetobacteraceae__433,g__Rhodopila__1070,s__Rhodopila globiformis__1071,
Leuconostoc mesenteroides,species,sk__Bacteria__2,p__Bacillota__1239,c__Bacilli__91061,o__Lactobacillales__186826,f__Lactobacillaceae__33958,g__Leuconostoc__1243,s__Leuconostoc mesenteroides__1245,
Histophilus somni,species,sk__Bacteria__2,p__Pseudomonadota__1224,c__Gammaproteobacteria__1236,o__Pasteurellales__135625,f__Pasteurellaceae__712,g__Histophilus__214906,s__Histophilus somni__731,
Pseudohaliea rubra,species,sk__Bacteria__2,p__Pseudomonadota__1224,c__Gammaproteobacteria__1236,o__Cellvibrionales__1706369,f__Halieaceae__1706372,g__Pseudohaliea__1341120,s__Pseudohaliea rubra__475795,
Bacillus sp. CCBAU 10711,species,sk__Bacteria__2,p__Bacillota__1239,c__Bacilli__91061,o__Bacillales__1385,f__Bacillaceae__186817,g__Bacillus__1386,s__Bacillus sp. CCBAU 10711__521462,
Gordonia polyisoprenivorans,species,sk__Bacteria__2,p__Actinomycetota__201174,c__Actinomycetes__1760,o__Mycobacteriales__85007,f__Gordoniaceae__85026,g__Gordonia__2053,s__Gordonia polyisoprenivorans__84595,
Solidesulfovibrio carbinolicus,species,sk__Bacteria__2,p__Thermodesulfobacteriota__200940,c__Desulfovibrionia__3031449,o__Desulfovibrionales__213115,f__Desulfovibrionaceae__194924,g__Solidesulfovibrio__2910984,s__Solidesulfovibrio carbinolicus__296842,
Picosynechococcus sp. PCC 7002,species,sk__Bacteria__2,p__Cyanobacteriota__1117,c__Cyanophyceae__3028117,o__Chroococcales__1118,f__Geminocystaceae__2815910,g__Picosynechococcus__3079908,s__Picosynechococcus sp. PCC 7002__32049,
Methylocella silvestris,species,sk__Bacteria__2,p__Pseudomonadota__1224,c__Alphaproteobacteria__28211,o__Hyphomicrobiales__356,f__Beijerinckiaceae__45404,g__Methylocella__120652,s__Methylocella silvestris__199596,
Lactobacillales,order,sk__Bacteria__2,p__Bacillota__1239,c__Bacilli__91061,o__Lactobacillales__186826,,,,
Beijerinckia indica,species,sk__Bacteria__2,p__Pseudomonadota__1224,c__Alphaproteobacteria__28211,o__Hyphomicrobiales__356,f__Beijerinckiaceae__45404,g__Beijerinckia__532,s__Beijerinckia indica__533,
Cryptosporangium sp. HBUM 171259,species,sk__Bacteria__2,p__Actinomycetota__201174,c__Actinomycetes__1760,o__Cryptosporangiales__2495577,f__Cryptosporangiaceae__622454,g__Cryptosporangium__65502,s__Cryptosporangium sp. HBUM 171259__464135,
Yaniella halotolerans,species,sk__Bacteria__2,p__Actinomycetota__201174,c__Actinomycetes__1760,o__Micrococcales__85006,f__Micrococcaceae__1268,g__Yaniella__225447,s__Yaniella halotolerans__225453,
Parasynechococcus marenigrum WH 8102,strain,sk__Bacteria__2,p__Cyanobacteriota__1117,c__Cyanophyceae__3028117,o__Synechococcales__1890424,f__Prochlorococcaceae__2881426,g__Parasynechococcus__2881427,s__Parasynechococcus marenigrum__2881428,st__Parasynechococcus marenigrum WH 8102__84588
Klebsiella pneumoniae subsp. pneumoniae 1158,strain,sk__Bacteria__2,p__Pseudomonadota__1224,c__Gammaproteobacteria__1236,o__Enterobacterales__91347,f__Enterobacteriaceae__543,g__Klebsiella__570,s__Klebsiella pneumoniae__573,st__Klebsiella pneumoniae subsp. pneumoniae 1158__1392499
Lactococcus chungangensis CAU 28 = DSM 22330,strain,sk__Bacteria__2,p__Bacillota__1239,c__Bacilli__91061,o__Lactobacillales__186826,f__Streptococcaceae__1300,g__Lactococcus__1357,s__Lactococcus chungangensis__451457,st__Lactococcus chungangensis CAU 28 = DSM 22330__1122154
Providencia sp. NBRC 12931,species,sk__Bacteria__2,p__Pseudomonadota__1224,c__Gammaproteobacteria__1236,o__Enterobacterales__91347,f__Morganellaceae__1903414,g__Providencia__586,s__Providencia sp. NBRC 12931__1113599,
Labrys monachus,species,sk__Bacteria__2,p__Pseudomonadota__1224,c__Alphaproteobacteria__28211,o__Hyphomicrobiales__356,f__Xanthobacteraceae__335928,g__Labrys__204476,s__Labrys monachus__217067,
Escherichia coli 1303,strain,sk__Bacteria__2,p__Pseudomonadota__1224,c__Gammaproteobacteria__1236,o__Enterobacterales__91347,f__Enterobacteriaceae__543,g__Escherichia__561,s__Escherichia coli__562,st__Escherichia coli 1303__745156
Erythrobacter,genus,sk__Bacteria__2,p__Pseudomonadota__1224,c__Alphaproteobacteria__28211,o__Sphingomonadales__204457,f__Erythrobacteraceae__335929,g__Erythrobacter__1041,,
Chryseobacterium hispalense DSM 25574,strain,sk__Bacteria__2,p__Bacteroidota__976,c__Flavobacteriia__117743,o__Flavobacteriales__200644,f__Weeksellaceae__2762318,g__Chryseobacterium__59732,s__Chryseobacterium hispalense__1453492,st__Chryseobacterium hispalense DSM 25574__491205
Liquorilactobacillus uvarum,species,sk__Bacteria__2,p__Bacillota__1239,c__Bacilli__91061,o__Lactobacillales__186826,f__Lactobacillaceae__33958,g__Liquorilactobacillus__2767888,s__Liquorilactobacillus uvarum__303240,
Methylocella,genus,sk__Bacteria__2,p__Pseudomonadota__1224,c__Alphaproteobacteria__28211,o__Hyphomicrobiales__356,f__Beijerinckiaceae__45404,g__Methylocella__120652,,
Pseudonocardia rhizophila,species,sk__Bacteria__2,p__Actinomycetota__201174,c__Actinomycetes__1760,o__Pseudonocardiales__85010,f__Pseudonocardiaceae__2070,g__Pseudonocardia__1847,s__Pseudonocardia rhizophila__709987,
Micromonospora parva,species,sk__Bacteria__2,p__Actinomycetota__201174,c__Actinomycetes__1760,o__Micromonosporales__85008,f__Micromonosporaceae__28056,g__Micromonospora__1873,s__Micromonospora parva__1464048,
Rhodococcus tukisamuensis,species,sk__Bacteria__2,p__Actinomycetota__201174,c__Actinomycetes__1760,o__Mycobacteriales__85007,f__Nocardiaceae__85025,g__Rhodococcus__1827,s__Rhodococcus tukisamuensis__168276,
Reichenbachiella faecimaris,species,sk__Bacteria__2,p__Bacteroidota__976,c__Cytophagia__768503,o__Cytophagales__768507,f__Reichenbachiellaceae__2762302,g__Reichenbachiella__156993,s__Reichenbachiella faecimaris__692418,
Streptomyces sp. NRRL B-3428,species,sk__Bacteria__2,p__Actinomycetota__201174,c__Actinomycetes__1760,o__Kitasatosporales__85011,f__Streptomycetaceae__2062,g__Streptomyces__1883,s__Streptomyces sp. NRRL B-3428__1463820,
Beijerinckia,genus,sk__Bacteria__2,p__Pseudomonadota__1224,c__Alphaproteobacteria__28211,o__Hyphomicrobiales__356,f__Beijerinckiaceae__45404,g__Beijerinckia__532,,
Crocosphaera,genus,sk__Bacteria__2,p__Cyanobacteriota__1117,c__Cyanophyceae__3028117,o__Chroococcales__1118,f__Aphanothecaceae__1890450,g__Crocosphaera__263510,,
Nonlabens sp. KMM 6497,species,sk__Bacteria__2,p__Bacteroidota__976,c__Flavobacteriia__117743,o__Flavobacteriales__200644,f__Flavobacteriaceae__49546,g__Nonlabens__363408,s__Nonlabens sp. KMM 6497__1220493,
Modicisalibacter luteus,species,sk__Bacteria__2,p__Pseudomonadota__1224,c__Gammaproteobacteria__1236,o__Oceanospirillales__135619,f__Halomonadaceae__28256,g__Modicisalibacter__574347,s__Modicisalibacter luteus__453962,
Corallococcus,genus,sk__Bacteria__2,p__Myxococcota__2818505,c__Myxococcia__32015,o__Myxococcales__29,f__Myxococcaceae__31,g__Corallococcus__83461,,
Methylobacillus glycogenes JCM 2850,strain,sk__Bacteria__2,p__Pseudomonadota__1224,c__Betaproteobacteria__28216,o__Nitrosomonadales__32003,f__Methylophilaceae__32011,g__Methylobacillus__404,s__Methylobacillus glycogenes__406,st__Methylobacillus glycogenes JCM 2850__1236959
Candidatus Hamiltonella defensa,species,sk__Bacteria__2,p__Pseudomonadota__1224,c__Gammaproteobacteria__1236,o__Enterobacterales__91347,f__Enterobacteriaceae__543,g__Candidatus Hamiltonella__568987,s__Candidatus Hamiltonella defensa__138072,
Synechocystis sp. PCC 7509,species,sk__Bacteria__2,p__Cyanobacteriota__1117,c__Cyanophyceae__3028117,o__Synechococcales__1890424,f__Merismopediaceae__1890428,g__Synechocystis__1142,s__Synechocystis sp. PCC 7509__927677,
Microvirgula aerodenitrificans DSM 15089,strain,sk__Bacteria__2,p__Pseudomonadota__1224,c__Betaproteobacteria__28216,o__Neisseriales__206351,f__Aquaspirillaceae__2897176,g__Microvirgula__57479,s__Microvirgula aerodenitrificans__57480,st__Microvirgula aerodenitrificans DSM 15089__1122240
Erythrobacter neustonensis,species,sk__Bacteria__2,p__Pseudomonadota__1224,c__Alphaproteobacteria__28211,o__Sphingomonadales__204457,f__Erythrobacteraceae__335929,g__Erythrobacter__1041,s__Erythrobacter neustonensis__1112,
Enterococcus faecalis CBRD01,strain,sk__Bacteria__2,p__Bacillota__1239,c__Bacilli__91061,o__Lactobacillales__186826,f__Enterococcaceae__81852,g__Enterococcus__1350,s__Enterococcus faecalis__1351,st__Enterococcus faecalis CBRD01__1400521
Hydrogenophaga palleronii,species,sk__Bacteria__2,p__Pseudomonadota__1224,c__Betaproteobacteria__28216,o__Burkholderiales__80840,f__Comamonadaceae__80864,g__Hydrogenophaga__47420,s__Hydrogenophaga palleronii__65655,
Photorhabdus luminescens,species,sk__Bacteria__2,p__Pseudomonadota__1224,c__Gammaproteobacteria__1236,o__Enterobacterales__91347,f__Morganellaceae__1903414,g__Photorhabdus__29487,s__Photorhabdus luminescens__29488,
Eggerthia,genus,sk__Bacteria__2,p__Bacillota__1239,c__Erysipelotrichia__526524,o__Erysipelotrichales__526525,f__Coprobacillaceae__2810280,g__Eggerthia__1279384,,
Geobacillus sp. NBRC 15316,species,sk__Bacteria__2,p__Bacillota__1239,c__Bacilli__91061,o__Bacillales__1385,f__Bacillaceae__186817,g__Geobacillus__129337,s__Geobacillus sp. NBRC 15316__1113648,
Furfurilactobacillus,genus,sk__Bacteria__2,p__Bacillota__1239,c__Bacilli__91061,o__Lactobacillales__186826,f__Lactobacillaceae__33958,g__Furfurilactobacillus__2767882,,
Aliarcobacter cryaerophilus D2610,strain,sk__Bacteria__2,p__Campylobacterota__29547,c__Epsilonproteobacteria__3031852,o__Campylobacterales__213849,f__Arcobacteraceae__2808963,g__Aliarcobacter__2321111,s__Aliarcobacter cryaerophilus__28198,st__Aliarcobacter cryaerophilus D2610__1032071
Pasteurella sp.,species,sk__Bacteria__2,p__Pseudomonadota__1224,c__Gammaproteobacteria__1236,o__Pasteurellales__135625,f__Pasteurellaceae__712,g__Pasteurella__745,s__Pasteurella sp.__759,
Thauera terpenica,species,sk__Bacteria__2,p__Pseudomonadota__1224,c__Betaproteobacteria__28216,o__Rhodocyclales__206389,f__Zoogloeaceae__2008794,g__Thauera__33057,s__Thauera terpenica__76113,
Azospirillum brasilense,species,sk__Bacteria__2,p__Pseudomonadota__1224,c__Alphaproteobacteria__28211,o__Rhodospirillales__204441,f__Azospirillaceae__2829815,g__Azospirillum__191,s__Azospirillum brasilense__192,
Bacteroides sp. 1_1_30,species,sk__Bacteria__2,p__Bacteroidota__976,c__Bacteroidia__200643,o__Bacteroidales__171549,f__Bacteroidaceae__815,g__Bacteroides__816,s__Bacteroides sp. 1_1_30__457387,
Eggerthia catenaformis,species,sk__Bacteria__2,p__Bacillota__1239,c__Erysipelotrichia__526524,o__Erysipelotrichales__526525,f__Coprobacillaceae__2810280,g__Eggerthia__1279384,s__Eggerthia catenaformis__31973,
Parabacteroides sp. D13,species,sk__Bacteria__2,p__Bacteroidota__976,c__Bacteroidia__200643,o__Bacteroidales__171549,f__Tannerellaceae__2005525,g__Parabacteroides__375288,s__Parabacteroides sp. D13__563193,
Macrococcoides caseolyticum,species,sk__Bacteria__2,p__Bacillota__1239,c__Bacilli__91061,o__Bacillales__1385,f__Staphylococcaceae__90964,g__Macrococcoides__3076173,s__Macrococcoides caseolyticum__69966,
Bacillus amyloliquefaciens,species,sk__Bacteria__2,p__Bacillota__1239,c__Bacilli__91061,o__Bacillales__1385,f__Bacillaceae__186817,g__Bacillus__1386,s__Bacillus amyloliquefaciens__1390,
Elizabethkingia,genus,sk__Bacteria__2,p__Bacteroidota__976,c__Flavobacteriia__117743,o__Flavobacteriales__200644,f__Weeksellaceae__2762318,g__Elizabethkingia__308865,,
Rudaea cellulosilytica,species,sk__Bacteria__2,p__Pseudomonadota__1224,c__Gammaproteobacteria__1236,o__Xanthomonadales__135614,f__Rhodanobacteraceae__1775411,g__Rudaea__886360,s__Rudaea cellulosilytica__540746,
Cetobacterium somerae,species,sk__Bacteria__2,p__Fusobacteriota__32066,c__Fusobacteriia__203490,o__Fusobacteriales__203491,f__Fusobacteriaceae__203492,g__Cetobacterium__180162,s__Cetobacterium somerae__188913,
Enterobacter sp. MGH 8,species,sk__Bacteria__2,p__Pseudomonadota__1224,c__Gammaproteobacteria__1236,o__Enterobacterales__91347,f__Enterobacteriaceae__543,g__Enterobacter__547,s__Enterobacter sp. MGH 8__1329817,
Snowella,genus,sk__Bacteria__2,p__Cyanobacteriota__1117,c__Cyanophyceae__3028117,o__Synechococcales__1890424,f__Coelosphaeriaceae__1890430,g__Snowella__283821,,
Methyloversatilis,genus,sk__Bacteria__2,p__Pseudomonadota__1224,c__Betaproteobacteria__28216,o__Nitrosomonadales__32003,f__Sterolibacteriaceae__2008793,g__Methyloversatilis__378210,,
Denitrobacterium detoxificans,species,sk__Bacteria__2,p__Actinomycetota__201174,c__Coriobacteriia__84998,o__Eggerthellales__1643822,f__Eggerthellaceae__1643826,g__Denitrobacterium__79603,s__Denitrobacterium detoxificans__79604,
Limnobacter sp. HTCC376,species,sk__Bacteria__2,p__Pseudomonadota__1224,c__Betaproteobacteria__28216,o__Burkholderiales__80840,f__Burkholderiaceae__119060,g__Limnobacter__131079,s__Limnobacter sp. HTCC376__260355,
Neisseria gonorrhoeae,species,sk__Bacteria__2,p__Pseudomonadota__1224,c__Betaproteobacteria__28216,o__Neisseriales__206351,f__Neisseriaceae__481,g__Neisseria__482,s__Neisseria gonorrhoeae__485,
Ornithobacterium,genus,sk__Bacteria__2,p__Bacteroidota__976,c__Flavobacteriia__117743,o__Flavobacteriales__200644,f__Weeksellaceae__2762318,g__Ornithobacterium__28250,,
Wohlfahrtiimonas,genus,sk__Bacteria__2,p__Pseudomonadota__1224,c__Gammaproteobacteria__1236,o__Cardiobacteriales__135615,f__Ignatzschineriaceae__3018589,g__Wohlfahrtiimonas__582472,,
Pseudoclostridium,genus,sk__Bacteria__2,p__Bacillota__1239,c__Clostridia__186801,o__Eubacteriales__186802,f__Oscillospiraceae__216572,g__Pseudoclostridium__2304693,,
Vibrio furnissii,species,sk__Bacteria__2,p__Pseudomonadota__1224,c__Gammaproteobacteria__1236,o__Vibrionales__135623,f__Vibrionaceae__641,g__Vibrio__662,s__Vibrio furnissii__29494,
Solimonas variicoloris,species,sk__Bacteria__2,p__Pseudomonadota__1224,c__Gammaproteobacteria__1236,o__Nevskiales__1775403,f__Nevskiaceae__568386,g__Solimonas__413435,s__Solimonas variicoloris__254408,
Acholeplasma laidlawii,species,sk__Bacteria__2,p__Mycoplasmatota__544448,c__Mollicutes__31969,o__Acholeplasmatales__186329,f__Acholeplasmataceae__2146,g__Acholeplasma__2147,s__Acholeplasma laidlawii__2148,
Veillonella sp. 6_1_27,species,sk__Bacteria__2,p__Bacillota__1239,c__Negativicutes__909932,o__Veillonellales__1843489,f__Veillonellaceae__31977,g__Veillonella__29465,s__Veillonella sp. 6_1_27__450749,
Afipia,genus,sk__Bacteria__2,p__Pseudomonadota__1224,c__Alphaproteobacteria__28211,o__Hyphomicrobiales__356,f__Nitrobacteraceae__41294,g__Afipia__1033,,
Escherichia fergusonii,species,sk__Bacteria__2,p__Pseudomonadota__1224,c__Gammaproteobacteria__1236,o__Enterobacterales__91347,f__Enterobacteriaceae__543,g__Escherichia__561,s__Escherichia fergusonii__564,
Furfurilactobacillus rossiae,species,sk__Bacteria__2,p__Bacillota__1239,c__Bacilli__91061,o__Lactobacillales__186826,f__Lactobacillaceae__33958,g__Furfurilactobacillus__2767882,s__Furfurilactobacillus rossiae__231049,
Clostridium sp. HGF2,species,sk__Bacteria__2,p__Bacillota__1239,c__Clostridia__186801,o__Eubacteriales__186802,f__Clostridiaceae__31979,g__Clostridium__1485,s__Clostridium sp. HGF2__908340,
Microvirgula,genus,sk__Bacteria__2,p__Pseudomonadota__1224,c__Betaproteobacteria__28216,o__Neisseriales__206351,f__Aquaspirillaceae__2897176,g__Microvirgula__57479,,
Providencia alcalifaciens,species,sk__Bacteria__2,p__Pseudomonadota__1224,c__Gammaproteobacteria__1236,o__Enterobacterales__91347,f__Morganellaceae__1903414,g__Providencia__586,s__Providencia alcalifaciens__126385,
Providencia rustigianii,species,sk__Bacteria__2,p__Pseudomonadota__1224,c__Gammaproteobacteria__1236,o__Enterobacterales__91347,f__Morganellaceae__1903414,g__Providencia__586,s__Providencia rustigianii__158850,
Peptoniphilus asaccharolyticus,species,sk__Bacteria__2,p__Bacillota__1239,c__Tissierellia__1737404,o__Tissierellales__1737405,f__Peptoniphilaceae__1570339,g__Peptoniphilus__162289,s__Peptoniphilus asaccharolyticus__1258,
Desulfosporosinus acidiphilus,species,sk__Bacteria__2,p__Bacillota__1239,c__Clostridia__186801,o__Eubacteriales__186802,f__Desulfitobacteriaceae__2937909,g__Desulfosporosinus__79206,s__Desulfosporosinus acidiphilus__885581,
Clostridium thermosuccinogenes,species,sk__Bacteria__2,p__Bacillota__1239,c__Clostridia__186801,o__Eubacteriales__186802,f__Clostridiaceae__31979,g__Clostridium__1485,s__Clostridium thermosuccinogenes__84032,
Afipia broomeae,species,sk__Bacteria__2,p__Pseudomonadota__1224,c__Alphaproteobacteria__28211,o__Hyphomicrobiales__356,f__Nitrobacteraceae__41294,g__Afipia__1033,s__Afipia broomeae__56946,
Macrococcus,genus,sk__Bacteria__2,p__Bacillota__1239,c__Bacilli__91061,o__Bacillales__1385,f__Staphylococcaceae__90964,g__Macrococcus__69965,,
Cronobacter malonaticus,species,sk__Bacteria__2,p__Pseudomonadota__1224,c__Gammaproteobacteria__1236,o__Enterobacterales__91347,f__Enterobacteriaceae__543,g__Cronobacter__413496,s__Cronobacter malonaticus__413503,
Desulfosporosinus,genus,sk__Bacteria__2,p__Bacillota__1239,c__Clostridia__186801,o__Eubacteriales__186802,f__Desulfitobacteriaceae__2937909,g__Desulfosporosinus__79206,,
Bacteroides sp. 2_1_33B,species,sk__Bacteria__2,p__Bacteroidota__976,c__Bacteroidia__200643,o__Bacteroidales__171549,f__Bacteroidaceae__815,g__Bacteroides__816,s__Bacteroides sp. 2_1_33B__469589,
Agarivorans,genus,sk__Bacteria__2,p__Pseudomonadota__1224,c__Gammaproteobacteria__1236,o__Alteromonadales__135622,f__Alteromonadaceae__72275,g__Agarivorans__261825,,
Thermodesulfovibrio,genus,sk__Bacteria__2,p__Nitrospirota__40117,c__Thermodesulfovibrionia__2811502,o__Thermodesulfovibrionales__2811503,f__Thermodesulfovibrionaceae__2811504,g__Thermodesulfovibrio__28261,,
Aequorivita,genus,sk__Bacteria__2,p__Bacteroidota__976,c__Flavobacteriia__117743,o__Flavobacteriales__200644,f__Flavobacteriaceae__49546,g__Aequorivita__153265,,
Thermodesulfovibrionia,class,sk__Bacteria__2,p__Nitrospirota__40117,c__Thermodesulfovibrionia__2811502,,,,,
Lysinibacillus boronitolerans,species,sk__Bacteria__2,p__Bacillota__1239,c__Bacilli__91061,o__Bacillales__1385,f__Bacillaceae__186817,g__Lysinibacillus__400634,s__Lysinibacillus boronitolerans__309788,
Lachnobacterium bovis,species,sk__Bacteria__2,p__Bacillota__1239,c__Clostridia__186801,o__Lachnospirales__3085636,f__Lachnospiraceae__186803,g__Lachnobacterium__140625,s__Lachnobacterium bovis__140626,
Corynebacterium diphtheriae,species,sk__Bacteria__2,p__Actinomycetota__201174,c__Actinomycetes__1760,o__Mycobacteriales__85007,f__Corynebacteriaceae__1653,g__Corynebacterium__1716,s__Corynebacterium diphtheriae__1717,
Thermodesulfovibrio aggregans,species,sk__Bacteria__2,p__Nitrospirota__40117,c__Thermodesulfovibrionia__2811502,o__Thermodesulfovibrionales__2811503,f__Thermodesulfovibrionaceae__2811504,g__Thermodesulfovibrio__28261,s__Thermodesulfovibrio aggregans__86166,
Butyrivibrio hungatei,species,sk__Bacteria__2,p__Bacillota__1239,c__Clostridia__186801,o__Lachnospirales__3085636,f__Lachnospiraceae__186803,g__Butyrivibrio__830,s__Butyrivibrio hungatei__185008,
Pedomicrobium,genus,sk__Bacteria__2,p__Pseudomonadota__1224,c__Alphaproteobacteria__28211,o__Hyphomicrobiales__356,f__Hyphomicrobiaceae__45401,g__Pedomicrobium__47494,,
Desulfoscipio,genus,sk__Bacteria__2,p__Bacillota__1239,c__Clostridia__186801,o__Eubacteriales__186802,f__Desulfallaceae__2867375,g__Desulfoscipio__2867376,,
Ignatzschineriaceae,family,sk__Bacteria__2,p__Pseudomonadota__1224,c__Gammaproteobacteria__1236,o__Cardiobacteriales__135615,f__Ignatzschineriaceae__3018589,,,
Limnobacter litoralis,species,sk__Bacteria__2,p__Pseudomonadota__1224,c__Betaproteobacteria__28216,o__Burkholderiales__80840,f__Burkholderiaceae__119060,g__Limnobacter__131079,s__Limnobacter litoralis__481366,
Gordonia,genus,sk__Bacteria__2,p__Actinomycetota__201174,c__Actinomycetes__1760,o__Mycobacteriales__85007,f__Gordoniaceae__85026,g__Gordonia__2053,,
Acetoanaerobium sticklandii,species,sk__Bacteria__2,p__Bacillota__1239,c__Clostridia__186801,o__Peptostreptococcales__3082720,f__Filifactoraceae__3118655,g__Acetoanaerobium__186831,s__Acetoanaerobium sticklandii__1511,
Marivita,genus,sk__Bacteria__2,p__Pseudomonadota__1224,c__Alphaproteobacteria__28211,o__Rhodobacterales__204455,f__Roseobacteraceae__2854170,g__Marivita__659428,,
Clostridium aminobutyricum,species,sk__Bacteria__2,p__Bacillota__1239,c__Clostridia__186801,o__Eubacteriales__186802,f__Clostridiaceae__31979,g__Clostridium__1485,s__Clostridium aminobutyricum__33953,
Soehngenia,genus,sk__Bacteria__2,p__Bacillota__1239,c__Tissierellia__1737404,o__Tissierellales__1737405,f__Tissierellaceae__1737406,g__Soehngenia__253255,,
Oscillibacter sp. KLE 1728,species,sk__Bacteria__2,p__Bacillota__1239,c__Clostridia__186801,o__Eubacteriales__186802,f__Oscillospiraceae__216572,g__Oscillibacter__459786,s__Oscillibacter sp. KLE 1728__1226322,
Odoribacter laneus,species,sk__Bacteria__2,p__Bacteroidota__976,c__Bacteroidia__200643,o__Bacteroidales__171549,f__Odoribacteraceae__1853231,g__Odoribacter__283168,s__Odoribacter laneus__626933,
Acetivibrio ethanolgignens,species,sk__Bacteria__2,p__Bacillota__1239,c__Clostridia__186801,o__Eubacteriales__186802,f__Oscillospiraceae__216572,g__Acetivibrio__35829,s__Acetivibrio ethanolgignens__290052,
Thermodesulfovibrionales,order,sk__Bacteria__2,p__Nitrospirota__40117,c__Thermodesulfovibrionia__2811502,o__Thermodesulfovibrionales__2811503,,,,
Boudabousia,genus,sk__Bacteria__2,p__Actinomycetota__201174,c__Actinomycetes__1760,o__Actinomycetales__2037,f__Actinomycetaceae__2049,g__Boudabousia__2767318,,
Geothermomicrobium terrae,species,sk__Bacteria__2,p__Bacillota__1239,c__Bacilli__91061,o__Bacillales__1385,f__Thermoactinomycetaceae__186824,g__Geothermomicrobium__1649452,s__Geothermomicrobium terrae__1411133,
Actinobacillus sp.,species,sk__Bacteria__2,p__Pseudomonadota__1224,c__Gammaproteobacteria__1236,o__Pasteurellales__135625,f__Pasteurellaceae__712,g__Actinobacillus__713,s__Actinobacillus sp.__41114,
Tissierella creatinophila,species,sk__Bacteria__2,p__Bacillota__1239,c__Tissierellia__1737404,o__Tissierellales__1737405,f__Tissierellaceae__1737406,g__Tissierella__41273,s__Tissierella creatinophila__79681,
Clostridium autoethanogenum,species,sk__Bacteria__2,p__Bacillota__1239,c__Clostridia__186801,o__Eubacteriales__186802,f__Clostridiaceae__31979,g__Clostridium__1485,s__Clostridium autoethanogenum__84023,
Streptomyces macrosporus,species,sk__Bacteria__2,p__Actinomycetota__201174,c__Actinomycetes__1760,o__Kitasatosporales__85011,f__Streptomycetaceae__2062,g__Streptomyces__1883,s__Streptomyces macrosporus__44032,
Haematomicrobium sanguinis,species,sk__Bacteria__2,p__Actinomycetota__201174,c__Actinomycetes__1760,o__Micrococcales__85006,f__Micrococcaceae__1268,g__Haematomicrobium__1930924,s__Haematomicrobium sanguinis__479106,
Geothermomicrobium,genus,sk__Bacteria__2,p__Bacillota__1239,c__Bacilli__91061,o__Bacillales__1385,f__Thermoactinomycetaceae__186824,g__Geothermomicrobium__1649452,,
