Name,Collection,Top 1 Organism,Top 2 Organism,Top 3 Organism,Top 4 Organism,Top 5 Organism,Top 6 Organism,Top 7 Organism,Top 8 Organism,Top 9 Organism,Top 10 Organism,Top 11 Organism,Top 12 Organism,Top 13 Organism,Top 14 Organism,Top 15 Organism,Top 16 Organism,Top 17 Organism,Top 18 Organism,Top 19 Organism,Top 20 Organism,Top 21 Organism,Top 22 Organism,Top 23 Organism,Top 24 Organism,Top 25 Organism,Top 26 Organism,Top 27 Organism,Top 28 Organism,Top 29 Organism,Top 30 Organism
Obsessive-Compulsive Disorder,conditions,[283168] Odoribacter (-0.0154),[119852] Oscillospira (-0.0154),[171550] Rikenellaceae (0.0102),[1766253] Agathobacter (-0.0102),[1485] Clostridium (-0.0102),[2005519] Barnesiellaceae (0.0102),[31979] Clostridiaceae (-0.0102),[239759] Alistipes (0.0102),[186803] Lachnospiraceae (-0.0102),[135858] Catenibacterium (-0.0102),[39948] Dialister (-0.0102),[404402] Howardella (-0.0102),[909929] Selenomonadales (-0.0102),[33042] Coprococcus (-0.0102),[28050] Lachnospira (-0.0102),[1501226] Romboutsia (-0.0102),[909932] Negativicutes (-0.0102),[31977] Veillonellaceae (-0.0102),[171552] Prevotellaceae (-0.0102),[459786] Oscillibacter (0.0102),[1649459] Hungatella (0.0102),[1348911] Coprobacter (0.0102),[577309] Paraprevotella (-0.0102),[946234] Flavonifractor (0.0102),[580596] Butyricicoccus (-0.0102),[207244] Anaerostipes (-0.0052),,,,
"Diabetes Mellitus, Type 1",conditions,[216851] Faecalibacterium (-0.3367),[816] Bacteroides (0.3358),[29465] Veillonella (0.3065),[171550] Rikenellaceae (0.2554),[200643] Bacteroidia (0.2493),[1301] Streptococcus (0.2179),[201174] Actinomycetota (-0.2056),[543] Enterobacteriaceae (0.2055),[28117] Alistipes putredinis (-0.1921),[28050] Lachnospira (-0.1914),[841] Roseburia (-0.1743),[31977] Veillonellaceae (0.1669),[1678] Bifidobacterium (-0.1593),[31953] Bifidobacteriaceae (-0.1482),[40544] Sutterella (0.148),[1300] Streptococcaceae (0.1479),[815] Bacteroidaceae (0.1479),[547] Enterobacter (0.1479),[1239] Bacillota (-0.1393),[333367] Enterocloster asparagiformis (0.1242),[1224] Pseudomonadota (-0.1223),[244127] Anaerotruncus (0.114),[946234] Flavonifractor (0.114),[61170] Holdemania (0.1078),[515620] [Eubacterium] eligens ATCC 27750 (-0.1075),[1485] Clostridium (0.1013),[39488] Anaerobutyricum hallii (-0.0972),[186802] Eubacteriales (0.092),[447020] Adlercreutzia (-0.0919),[84111] Eggerthella (0.0909)
Fructose-Asparagine Digestion,metabolisms,[Pathogen] Salmonella enterica (0.0243),[1531] Enterocloster clostridioformis (0.0098),[208479] Enterocloster bolteae (0.0098),[1488] Clostridium acetobutylicum (0.0098),,,,,,,,,,,,,,,,,,,,,,,,,,
Thinness,conditions,[990719] Christensenellaceae (0.0668),[544448] Mycoplasmatota (0.0668),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metabolic Syndrome,conditions,[33038] Mediterraneibacter gnavus (0.0517),[853] Faecalibacterium prausnitzii (-0.0353),[Probiotic] Bifidobacterium longum (-0.0353),[817] Bacteroides fragilis (-0.0187),[823] Parabacteroides distasonis (-0.0187),[816] Bacteroides (0.0187),[1730] Eubacterium (0.0187),[1578] Lactobacillus (0.0187),[39491] Agathobacter rectalis (-0.0187),[851] Fusobacterium nucleatum (-0.0187),[1265] Ruminococcus flavefaciens (-0.0187),[1680] Bifidobacterium adolescentis (-0.0187),[411489] Clostridium sp. L2-50 (-0.0167),[515620] [Eubacterium] eligens ATCC 27750 (-0.0167),[573] Klebsiella pneumoniae (0.0167),[28117] Alistipes putredinis (-0.0167),[850] Fusobacterium mortiferum (0.0167),[158847] Megamonas hypermegale (0.0167),[357276] Phocaeicola dorei (-0.0167),[29466] Veillonella parvula (-0.0167),[437897] Megamonas funiformis (0.0167),[28026] Bifidobacterium pseudocatenulatum (-0.0167),[40545] Sutterella wadsworthensis (0.0167),[200643] Bacteroidia (-0.0157),[1239] Bacillota (0.0157),[1228827] Influenza A virus) (0.01),[1211417] uncultured crAssphage (0.0038),[818] Bacteroides thetaiotaomicron (-0.002),[203492] Fusobacteriaceae (0.0),[1154585] Gaiellaceae (0.0)
Apolipoproteins A,symptoms,[33958] Lactobacillaceae (0.0447),[171549] Bacteroidales (-0.0447),[216851] Faecalibacterium (0.0447),[543] Enterobacteriaceae (0.0447),[171550] Rikenellaceae (0.0447),[39948] Dialister (0.0447),[91347] Enterobacterales (0.0447),[91061] Bacilli (0.0447),[203492] Fusobacteriaceae (-0.0447),[186826] Lactobacillales (0.0447),[28050] Lachnospira (0.0447),[216572] Oscillospiraceae (0.0447),[186802] Eubacteriales (0.0447),[1236] Gammaproteobacteria (0.0447),[200643] Bacteroidia (-0.0447),[35493] Streptophyta (-0.0447),[158846] Megamonas (-0.0447),[1578] Lactobacillus (0.0447),,,,,,,,,,,,
Anxiety Disorders,conditions,[1678] Bifidobacterium (-0.063),[841] Roseburia (0.0628),[816] Bacteroides (0.0628),[838] Prevotella (-0.0627),[1239] Bacillota (0.0513),[201174] Actinomycetota (-0.0315),[1224] Pseudomonadota (-0.0314),[487175] Parasutterella excrementihominis (-0.026),[644652] Gordonibacter (0.026),[577310] Parasutterella (-0.026),[1924093] Anaeromassilibacillus (0.026),[1965604] Anaeromassilibacillus sp. An250 (0.026),[216851] Faecalibacterium (-0.0116),[33038] Mediterraneibacter gnavus (-0.0116),[28050] Lachnospira (-0.0116),[39491] Agathobacter rectalis (-0.0116),[32066] Fusobacteriota (0.0116),[29523] Bacteroides sp. (0.0116),[40544] Sutterella (-0.0116),[580596] Butyricicoccus (-0.0116),[848] Fusobacterium (-0.0116),[200643] Bacteroidia (-0.0114),[283168] Odoribacter (-0.0001),,,,,,,
Multiple Sclerosis,conditions,[Probiotic] Akkermansia muciniphila (1.0598),[853] Faecalibacterium prausnitzii (-1.0415),[1550024] Ruthenibacterium lactatiformans (1.036),[100884] Coprobacillus cateniformis (1.005),[33039] [Ruminococcus] torques (1.005),[1262845] Clostridium sp. CAG:91 (-1.005),[184870] Varibaculum cambriense (1.005),[1432052] Eisenbergiella tayi (1.005),[1263108] [Ruminococcus] torques CAG:61 (1.005),[1263034] Akkermansia muciniphila CAG:154 (1.005),[1226324] Blautia sp. KLE 1732 (-1.005),[40520] Blautia obeum (-1.005),[1929996] Akkermansia sp. Phil8 (1.005),[501496] Porphyromonas bennonis (1.005),[1263014] Firmicutes bacterium CAG:270 (-1.005),[1896967] Akkermansia sp. 54_46 (1.005),[154046] Hungatella hathewayi (1.005),[1638783] Akkermansia sp. UNK.MGS-1 (1.005),[1262994] Firmicutes bacterium CAG:65 (-1.005),[1855376] Lachnospiraceae bacterium NLAE-zl-G231 (1.005),[1150298] Fusicatenibacter saccharivorans (-1.005),[1284708] Tissierellia bacterium S7-1-4 (1.005),[1465756] Peptoniphilus grossensis (1.005),[239934] Akkermansia (0.18),[216851] Faecalibacterium (-0.1319),[2172] Methanobrevibacter (0.1277),[574697] Butyricimonas (-0.1175),[204475] Gemmiger (-0.112),[580596] Butyricicoccus (-0.112),[216572] Oscillospiraceae (-0.1064)
Ashwagandha Digestion,metabolisms,[31953] Bifidobacteriaceae (0.0063),[815] Bacteroidaceae (0.0063),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vitamin K,symptoms,[40544] Sutterella (0.005),[84111] Eggerthella (0.005),[33042] Coprococcus (0.005),[189330] Dorea (0.005),[1730] Eubacterium (0.005),[838] Prevotella (0.005),[119852] Oscillospira (0.005),,,,,,,,,,,,,,,,,,,,,,,
Affect,symptoms,[128827] Erysipelotrichaceae (0.1243),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lupus Erythematosus, Systemic",conditions,[820] Bacteroides uniformis (0.0957),[28116] Bacteroides ovatus (0.0957),[821] Phocaeicola vulgatus (0.0957),[818] Bacteroides thetaiotaomicron (0.0957),[1239] Bacillota (-0.0808),[200643] Bacteroidia (0.0561),[39948] Dialister (-0.0534),[816] Bacteroides (0.0491),[216851] Faecalibacterium (-0.0487),[841] Roseburia (-0.0471),[838] Prevotella (0.0447),[872] Desulfovibrio (-0.0413),[561] Escherichia (0.0362),[1783273] Patescibacteria group (-0.0332),[74201] Verrucomicrobiota (-0.0332),[1766253] Agathobacter (-0.0332),[83770] Succinivibrio (0.0325),[375288] Parabacteroides (0.0325),[35832] Bilophila (0.0325),[204475] Gemmiger (-0.0325),[1357] Lactococcus (-0.0325),[33042] Coprococcus (0.0325),[28050] Lachnospira (-0.0281),[Probiotic] Ligilactobacillus salivarius (0.0275),[817] Bacteroides fragilis (0.0275),[461393] Actinomyces massiliensis (0.0275),[1383] Lancefieldella rimae (0.0275),[1535] [Clostridium] leptum (0.0275),[33958] Lactobacillaceae (0.0242),[1300] Streptococcaceae (0.0242)
Parkinson Disease,conditions,[186803] Lachnospiraceae (-0.1579),[841] Roseburia (-0.1299),[216851] Faecalibacterium (-0.1058),[171552] Prevotellaceae (-0.0838),[239934] Akkermansia (0.0745),[81852] Enterococcaceae (0.0708),[1350] Enterococcus (0.0708),[572511] Blautia (-0.0666),[29465] Veillonella (0.0628),[1578] Lactobacillus (0.0474),[838] Prevotella (-0.0471),[33958] Lactobacillaceae (0.042),[203494] Verrucomicrobiae (0.042),[48461] Verrucomicrobiales (0.042),[35832] Bilophila (0.0416),[574697] Butyricimonas (0.0416),[31969] Mollicutes (0.0416),[191394] Deferribacteraceae (0.0416),[28211] Alphaproteobacteria (0.0416),[526525] Erysipelotrichales (0.0416),[171550] Rikenellaceae (0.0416),[356] Hyphomicrobiales (0.0416),[526524] Erysipelotrichia (0.0416),[68337] Deferribacteres (0.0416),[171551] Porphyromonadaceae (0.0416),[200930] Deferribacterota (0.0416),[1853231] Odoribacteraceae (0.0416),[248038] Mucispirillum (0.0416),[375288] Parabacteroides (0.0416),[191393] Deferribacterales (0.0416)
Colic,symptoms,[1678] Bifidobacterium (-0.0548),[84111] Eggerthella (-0.0548),[84108] Slackia (0.0548),[100883] Coprobacillus (0.0548),[544448] Mycoplasmatota (0.0548),[171550] Rikenellaceae (0.0548),[84107] Coriobacteriaceae (-0.0548),[468] Moraxellaceae (-0.0548),[255528] Victivallaceae (-0.0548),[75682] Oxalobacteraceae (-0.0548),[74426] Collinsella aerofaciens (-0.0),[33043] Coprococcus eutactus (-0.0),[29465] Veillonella (-0.0),[1578] Lactobacillus (-0.0),[33039] [Ruminococcus] torques (0.0),,,,,,,,,,,,,,,
Atherosclerosis,symptoms,[562] Escherichia coli (0.1308),[165179] Segatella copri (-0.1308),[853] Faecalibacterium prausnitzii (-0.1308),[33038] Mediterraneibacter gnavus (0.1308),[166486] Roseburia intestinalis (-0.1308),[102106] Collinsella (0.13),[371601] Bacteroides xylanisolvens (-0.13),[841] Roseburia (-0.13),[1730] Eubacterium (-0.13),[84112] Eggerthella lenta (0.1181),[816] Bacteroides (-0.1181),[Probiotic] Ligilactobacillus salivarius (0.1181),[543] Enterobacteriaceae (0.1181),[328814] Alistipes shahii (-0.1181),[102148] Solobacterium moorei (0.1181),[548] Klebsiella aerogenes (0.1181),[1382] Lancefieldella parvula (0.1181),[570] Klebsiella (0.1181),[1301] Streptococcus (0.1181),[457387] Bacteroides sp. 1_1_30 (-0.1173),[469585] Bacteroides sp. 1_1_14 (-0.1173),[573] Klebsiella pneumoniae (0.0127),[Probiotic] Akkermansia muciniphila (0.0127),[360807] Roseburia inulinivorans (-0.0127),[357276] Phocaeicola dorei (-0.0127),[Probiotic] Streptococcus salivarius (0.0127),[39485] Lachnospira eligens (-0.0127),[817] Bacteroides fragilis (0.0127),[33039] [Ruminococcus] torques (0.0127),[820] Bacteroides uniformis (-0.0127)
Aggression,symptoms,[816] Bacteroides (-0.0),[290054] Eubacterium coprostanoligenes (-0.0),[572511] Blautia (-0.0),[1678] Bifidobacterium (-0.0),[838] Prevotella (0.0),[102106] Collinsella (-0.0),[216851] Faecalibacterium (-0.0),,,,,,,,,,,,,,,,,,,,,,,
Potassium-2-Ketogluconate Digestion,metabolisms,[1870985] Arabiibacter massiliensis (0.0026),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spondylarthritis,conditions,[171550] Rikenellaceae (-0.0121),[216572] Oscillospiraceae (0.0121),[990719] Christensenellaceae (-0.0121),,,,,,,,,,,,,,,,,,,,,,,,,,,
Cholesterol,symptoms,[853] Faecalibacterium prausnitzii (-0.074),[76775] Malassezia restricta (-0.0204),[55193] Malassezia (-0.0204),[487173] Dialister succinatiphilus (0.0001),[214856] Alistipes finegoldii (0.0001),[328813] Alistipes onderdonkii (0.0),[186803] Lachnospiraceae (0.0),[91061] Bacilli (0.0),[187326] Megasphaera micronuciformis (0.0),[218538] Dialister invisus (0.0),[1654] Actinomyces (0.0),[724] Haemophilus (0.0),[1301] Streptococcus (0.0),[29465] Veillonella (0.0),,,,,,,,,,,,,,,,
Diabetic Angiopathies,symptoms,[816] Bacteroides (0.007),[1350] Enterococcus (0.007),[1578] Lactobacillus (-0.007),,,,,,,,,,,,,,,,,,,,,,,,,,,
Overweight,conditions,[200643] Bacteroidia (-0.0148),[1239] Bacillota (0.0148),[171552] Prevotellaceae (0.0061),[203557] Verrucomicrobiaceae (0.0061),[1117] Cyanobacteriota (0.0061),[74201] Verrucomicrobiota (0.0061),[186807] Peptococcaceae (-0.0061),[2005519] Barnesiellaceae (-0.0061),[171551] Porphyromonadaceae (-0.0061),[75682] Oxalobacteraceae (0.0061),[186803] Lachnospiraceae (0.0061),[990719] Christensenellaceae (-0.0061),[815] Bacteroidaceae (-0.0061),[1678] Bifidobacterium (-0.0058),[562] Escherichia coli (0.0058),[816] Bacteroides (-0.0058),[1279] Staphylococcus (0.0058),[543] Enterobacteriaceae (-0.0003),,,,,,,,,,,,
Immunoglobulin G4-Related Disease,conditions,[216851] Faecalibacterium (-0.1477),[572511] Blautia (-0.1477),[29465] Veillonella (0.1477),[1301] Streptococcus (0.1477),[848] Fusobacterium (0.1477),[216572] Oscillospiraceae (-0.1477),[1578] Lactobacillus (0.1477),[33035] Blautia producta (0.0),[1547] Thomasclavelia ramosa (0.0),[Probiotic] Ligilactobacillus salivarius (0.0),[29347] [Clostridium] scindens (0.0),[2585118] Alistipes communis (-0.0),[33038] Mediterraneibacter gnavus (0.0),[1522] [Clostridium] innocuum (0.0),[487174] Barnesiella intestinihominis (-0.0),[1519439] Oscillibacter sp. ER4 (-0.0),[853] Faecalibacterium prausnitzii (-0.0),[200643] Bacteroidia (-0.0),[1318] Streptococcus parasanguinis (0.0),[84112] Eggerthella lenta (0.0),[208479] Enterocloster bolteae (0.0),[28117] Alistipes putredinis (-0.0),[1671366] Ruminococcus sp. DSM 100440 (0.0),[1531] Enterocloster clostridioformis (0.0),,,,,,
Colorectal Neoplasms,conditions,[848] Fusobacterium (0.4),[28118] Odoribacter splanchnicus (0.258),[823] Parabacteroides distasonis (0.258),[33033] Parvimonas micra (0.2522),[817] Bacteroides fragilis (0.247),[47678] Bacteroides caccae (0.2369),[28116] Bacteroides ovatus (0.2369),[35833] Bilophila wadsworthia (0.2369),[371601] Bacteroides xylanisolvens (0.2369),[821] Phocaeicola vulgatus (0.2369),[283168] Odoribacter (0.2355),[946234] Flavonifractor (0.2355),[214856] Alistipes finegoldii (0.2202),[836] Porphyromonas (0.2136),[838] Prevotella (0.2016),[561] Escherichia (0.1774),[39491] Agathobacter rectalis (-0.1535),[853] Faecalibacterium prausnitzii (-0.1511),[562] Escherichia coli (0.1386),[28111] Bacteroides eggerthii (0.1386),[1263] Ruminococcus (-0.1354),[851] Fusobacterium nucleatum (0.1305),[Probiotic] Streptococcus salivarius (-0.1284),[649756] Anaerostipes hadrus (-0.1284),[1150298] Fusicatenibacter saccharivorans (-0.1284),[871665] Blautia faecis (-0.1284),[39488] Anaerobutyricum hallii (-0.1284),[1512] [Clostridium] symbiosum (0.1264),[40520] Blautia obeum (-0.1258),[39486] Dorea formicigenerans (-0.1258)
Catechins Digestion,metabolisms,[292800] Flavonifractor plautii (0.0102),[84112] Eggerthella lenta (0.0102),[Pathogen] Salmonella enterica (0.0001),[Probiotic] Bifidobacterium breve (0.0001),[562] Escherichia coli (0.0001),[Pathogen] Staphylococcus aureus (0.0001),,,,,,,,,,,,,,,,,,,,,,,,
Aspartate Aminotransferases,symptoms,[40544] Sutterella (-0.017),[1766253] Agathobacter (0.017),[186803] Lachnospiraceae (0.017),[1279] Staphylococcus (-0.017),[191303] Turicibacter (-0.017),[207244] Anaerostipes (0.017),,,,,,,,,,,,,,,,,,,,,,,,
"Cholesterol, VLDL",symptoms,[102106] Collinsella (0.0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dyspnea,symptoms,[853] Faecalibacterium prausnitzii (-0.0038),[561] Escherichia (0.0038),,,,,,,,,,,,,,,,,,,,,,,,,,,,
C-peptide,symptoms,[216572] Oscillospiraceae (0.0),[84107] Coriobacteriaceae (0.0),[544448] Mycoplasmatota (-0.0),[102106] Collinsella (0.0),[201174] Actinomycetota (0.0),[84998] Coriobacteriia (0.0),,,,,,,,,,,,,,,,,,,,,,,,
Rett Syndrome,conditions,[128827] Erysipelotrichaceae (0.1018),[207244] Anaerostipes (0.1018),[1678] Bifidobacterium (0.1018),[1654] Actinomyces (0.1018),[1350] Enterococcus (0.1018),[1578] Lactobacillus (0.1018),[84111] Eggerthella (0.1018),,,,,,,,,,,,,,,,,,,,,,,
Arthralgia,symptoms,[1306] Streptococcus sp. (0.1202),[2740] Peptococcus (0.0204),[265975] Oribacterium (0.0204),[80865] Delftia (0.0204),[1392389] Intestinimonas (0.0204),[31953] Bifidobacteriaceae (0.0066),[186804] Peptostreptococcaceae (0.0066),[186803] Lachnospiraceae (0.0066),[541019] Gracilibacteraceae (0.0066),[191394] Deferribacteraceae (0.0066),[1228827] Influenza A virus) (0.0066),[216572] Oscillospiraceae (0.0066),[72293] Helicobacteraceae (0.0066),[186807] Peptococcaceae (0.0066),[255528] Victivallaceae (0.0066),[186818] Planococcaceae (0.0066),,,,,,,,,,,,,,
Post-Lyme Disease Syndrome,conditions,[816] Bacteroides (-0.0242),[572511] Blautia (0.0242),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glycated Hemoglobin,symptoms,[171552] Prevotellaceae (-0.074),[577309] Paraprevotella (-0.074),[838] Prevotella (-0.007),[1578] Lactobacillus (-0.007),[1535] [Clostridium] leptum (-0.007),[816] Bacteroides (0.007),[88431] Dorea longicatena (0.0001),[853] Faecalibacterium prausnitzii (0.0001),[41978] Ruminococcus sp. (0.0001),[33025] Phascolarctobacterium faecium (-0.0001),[572511] Blautia (-0.0001),[1743] Propionibacterium (-0.0001),[33042] Coprococcus (-0.0001),[216851] Faecalibacterium (0.0),[135858] Catenibacterium (0.0),[1263] Ruminococcus (-0.0),[1301] Streptococcus (0.0),,,,,,,,,,,,,
Frailty,conditions,[200643] Bacteroidia (-0.0206),[201174] Actinomycetota (0.0206),[186826] Lactobacillales (0.0206),[976] Bacteroidota (-0.0206),[91061] Bacilli (0.0206),[171549] Bacteroidales (-0.0206),[1300] Streptococcaceae (0.0206),[216851] Faecalibacterium (-0.0166),[841] Roseburia (-0.0166),[375288] Parabacteroides (0.0166),[838] Prevotella (-0.0166),[570] Klebsiella (0.0166),[239934] Akkermansia (0.0166),[572511] Blautia (-0.0166),[158846] Megamonas (-0.0166),[1407607] Fusicatenibacter (-0.0),[816] Bacteroides (0.0),,,,,,,,,,,,,
Galactose Digestion,metabolisms,[1870985] Arabiibacter massiliensis (0.0026),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Immune System Diseases,conditions,[84111] Eggerthella (0.1019),[44748] Sporobacter (-0.1019),[1301] Streptococcus (0.1019),[2838583] Candidatus Faecalicoccus intestinipullorum (0.1019),[204475] Gemmiger (-0.1019),[28050] Lachnospira (-0.1019),[1485] Clostridium (0.1019),[1654] Actinomyces (0.1019),,,,,,,,,,,,,,,,,,,,,,
Gastritis,conditions,[816] Bacteroides (0.0481),[200643] Bacteroidia (0.0333),[815] Bacteroidaceae (0.0333),[47494] Pedomicrobium (0.0333),[33958] Lactobacillaceae (-0.0333),[375288] Parabacteroides (0.0333),[1578] Lactobacillus (-0.0333),[1236] Gammaproteobacteria (0.0333),[28050] Lachnospira (-0.0333),[171551] Porphyromonadaceae (0.0333),[841] Roseburia (-0.0333),[1239] Bacillota (-0.0333),[171549] Bacteroidales (0.0333),[31953] Bifidobacteriaceae (-0.0333),[86331] Mogibacterium (0.0333),[85004] Bifidobacteriales (-0.0333),[543] Enterobacteriaceae (0.0333),[186802] Eubacteriales (-0.0333),[1678] Bifidobacterium (-0.0333),[91347] Enterobacterales (0.0333),[186801] Clostridia (-0.0333),[186803] Lachnospiraceae (-0.0333),[768507] Cytophagales (0.0166),[135622] Alteromonadales (0.0166),[72275] Alteromonadaceae (0.0166),[13687] Sphingomonas (0.0166),[1716] Corynebacterium (0.0166),[1016] Capnocytophaga (0.0166),[768503] Cytophagia (0.0166),[200795] Chloroflexota (0.0166)
Migraine with Aura,symptoms,[248744] Marvinbryantia (0.0477),[31969] Mollicutes (0.0477),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rosacea,conditions,[186826] Lactobacillales (0.0093),[186807] Peptococcaceae (-0.0093),[100883] Coprobacillus (-0.0093),[2172] Methanobrevibacter (-0.0093),[544] Citrobacter (-0.0093),[84108] Slackia (-0.0093),[872] Desulfovibrio (-0.0093),[904] Acidaminococcus (0.0091),[906] Megasphaera (0.0091),[1578] Lactobacillus (-0.0002),[841] Roseburia (-0.0002),[1678] Bifidobacterium (0.0002),[1266] Sarcina (0.0002),[1485] Clostridium (-0.0002),[292833] Candidatus Rhabdochlamydia (0.0002),[1263] Ruminococcus (0.0002),,,,,,,,,,,,,,
Amygdalin Digestion,metabolisms,[1870985] Arabiibacter massiliensis (0.0026),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adenocarcinoma of Lung,conditions,[946234] Flavonifractor (0.0114),[1485] Clostridium (0.0114),[292800] Flavonifractor plautii (0.0114),[84111] Eggerthella (0.0114),,,,,,,,,,,,,,,,,,,,,,,,,,
Mood Disorders,conditions,[946234] Flavonifractor (0.012),[990719] Christensenellaceae (-0.012),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sucralose Digestion,metabolisms,[561] Escherichia (0.0111),[Pathogen] Shigella (0.0111),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyperlipidemias,conditions,[201174] Actinomycetota (0.0205),[102106] Collinsella (0.0205),[239759] Alistipes (-0.0205),[1678] Bifidobacterium (0.0205),[853] Faecalibacterium prausnitzii (-0.0137),[200643] Bacteroidia (-0.0121),[816] Bacteroides (0.0114),[171550] Rikenellaceae (-0.0084),[128827] Erysipelotrichaceae (-0.0084),[40544] Sutterella (-0.0084),[1578] Lactobacillus (0.0084),[100884] Coprobacillus cateniformis (-0.0084),[100883] Coprobacillus (-0.0084),[301302] Roseburia faecis (-0.0084),[113286] Pseudoramibacter (0.0084),[248039] Mucispirillum schaedleri (-0.0084),[1263] Ruminococcus (-0.0084),[119852] Oscillospira (-0.0084),[39948] Dialister (-0.0084),[Probiotic] Akkermansia muciniphila (-0.0084),[189330] Dorea (0.0084),[28050] Lachnospira (-0.0084),[28117] Alistipes putredinis (-0.0084),[216851] Faecalibacterium (0.0062),[39491] Agathobacter rectalis (0.0053),[150055] Streptococcus lutetiensis (0.0053),[872] Desulfovibrio (-0.0032),[239934] Akkermansia (0.0),[1301] Streptococcus (0.0),[838] Prevotella (0.0)
COVID-19,conditions,[186801] Clostridia (-0.0293),[91061] Bacilli (0.0293),[84998] Coriobacteriia (0.0293),[35832] Bilophila (-0.0038),[360807] Roseburia inulinivorans (-0.0038),[841] Roseburia (-0.0038),[1263] Ruminococcus (-0.0038),[186803] Lachnospiraceae (-0.0038),[1392389] Intestinimonas (-0.0038),[292800] Flavonifractor plautii (0.0038),[40518] Ruminococcus bromii (-0.0038),[201174] Actinomycetota (0.0038),[189330] Dorea (-0.0038),[1407607] Fusicatenibacter (-0.0038),[216851] Faecalibacterium (-0.0038),[1547] Thomasclavelia ramosa (0.0038),[1505657] Intestinibacter (0.0038),[1485] Clostridium (-0.0038),[194924] Desulfovibrionaceae (-0.0038),[561] Escherichia (0.0038),[580596] Butyricicoccus (-0.0038),[501571] Butyricicoccus pullicaecorum (-0.0038),[208479] Enterocloster bolteae (0.0038),[871665] Blautia faecis (-0.0038),[1150298] Fusicatenibacter saccharivorans (-0.0038),[853] Faecalibacterium prausnitzii (-0.0038),[358742] Enterocloster aldenensis (0.0038),[1297617] Intestinimonas butyriciproducens (-0.0038),[261299] Intestinibacter bartlettii (0.0038),[946234] Flavonifractor (0.0038)
Anti-N-Methyl-D-Aspartate Receptor Encephalitis,conditions,[816] Bacteroides (-0.0038),[562] Escherichia coli (0.0038),[74426] Collinsella aerofaciens (0.0038),[28256] Halomonadaceae (-0.0038),[2745] Halomonas (-0.0038),[1654] Actinomyces (0.0038),[201174] Actinomycetota (0.0038),[1853231] Odoribacteraceae (-0.0038),[216851] Faecalibacterium (-0.0038),[33958] Lactobacillaceae (0.0038),[539738] Gemellaceae (0.0038),[33042] Coprococcus (-0.0038),[84107] Coriobacteriaceae (0.0038),[574697] Butyricimonas (-0.0038),[838] Prevotella (0.0038),[135619] Oceanospirillales (-0.0038),[216572] Oscillospiraceae (-0.0038),[823] Parabacteroides distasonis (-0.0038),[375288] Parabacteroides (-0.0038),[2049] Actinomycetaceae (0.0038),[35493] Streptophyta (0.0038),[853] Faecalibacterium prausnitzii (-0.0038),[1578] Lactobacillus (0.0038),[171551] Porphyromonadaceae (-0.0038),[84998] Coriobacteriia (0.0038),[186804] Peptostreptococcaceae (0.0038),[1385] Bacillales (0.0038),,,
Fructose Digestion,metabolisms,[817] Bacteroides fragilis (1.0098),[818] Bacteroides thetaiotaomicron (1.0098),[28116] Bacteroides ovatus (1.0),[820] Bacteroides uniformis (1.0),[821] Phocaeicola vulgatus (1.0),[47678] Bacteroides caccae (1.0),[853] Faecalibacterium prausnitzii (0.0328),[39490] Eubacterium ramulus (0.0328),[33964] Leuconostoc citreum (0.019),[Probiotic] Bifidobacterium longum (0.0098),[148814] Apilactobacillus kunkeei (0.0074),[1631] Fructobacillus fructosus (0.0074),[220714] Fructobacillus pseudoficulneus (0.0074),[1591] Lactobacillus sp. (0.0074),[1870985] Arabiibacter massiliensis (0.0026),,,,,,,,,,,,,,,
Liver Cirrhosis,conditions,[186803] Lachnospiraceae (-0.3767),[216572] Oscillospiraceae (-0.3324),[1301] Streptococcus (0.3095),[200643] Bacteroidia (-0.2874),[1730] Eubacterium (-0.2856),[29465] Veillonella (0.2842),[838] Prevotella (0.2638),[410072] Coprococcus comes (-0.2431),[729] Haemophilus parainfluenzae (0.2193),[239759] Alistipes (-0.2193),[853] Faecalibacterium prausnitzii (-0.2193),[39777] Veillonella atypica (0.2193),[39778] Veillonella dispar (0.2193),[1328] Streptococcus anginosus (0.2193),[Pathogen] Clostridium perfringens (0.2193),[1485] Clostridium (0.2193),[Pathogen] Campylobacter (0.2193),[543317] Clostridiales Family XIV. Incertae Sedis (-0.2149),[1239] Bacillota (-0.204),[543] Enterobacteriaceae (0.1983),[816] Bacteroides (-0.153),[1350] Enterococcus (0.1072),[90964] Staphylococcaceae (0.1017),[81852] Enterococcaceae (0.1017),[171551] Porphyromonadaceae (-0.1017),[1263] Ruminococcus (-0.0901),[216851] Faecalibacterium (-0.0901),[1224] Pseudomonadota (0.0681),[35783] Enterococcus sp. (0.0663),[1303] Streptococcus oralis (0.0663)
